Victim_ID,Name,Age,Gender,District
VIC00001,Mekhala Nadig,48,Male,Vijayapura
VIC00002,Nicholas Savant,26,Female,Bengaluru Rural
VIC00003,Imaran Rao,68,Female,Udupi
VIC00004,Ekapad Bhattacharyya,32,Male,Vijayapura
VIC00005,Yash Ram,39,Female,Chikkamagaluru
VIC00006,Bhavya Rattan,63,Female,Vijayapura
VIC00007,Yutika Sodhi,59,Female,Hassan
VIC00008,Hritik Patla,32,Male,Hubballi-Dharwad
VIC00009,Keya Pillay,25,Female,Bengaluru Rural
VIC00010,Aadi Bhat,25,Male,Belagavi
VIC00011,Karan Dutta,65,Male,Davanagere
VIC00012,Warhi Divan,25,Female,Mysuru
VIC00013,Dakshesh Sur,72,Female,Kalaburagi
VIC00014,Chatura Johal,54,Male,Hubballi-Dharwad
VIC00015,Hema Bahl,21,Male,Udupi
VIC00016,Yagnesh Jaggi,42,Female,Belagavi
VIC00017,Yagnesh Behl,67,Female,Hassan
VIC00018,Ganga Bansal,61,Male,Tumakuru
VIC00019,Faris Sen,60,Male,Bengaluru Rural
VIC00020,Amaira Krishnamurthy,43,Male,Tumakuru
VIC00021,Vaishnavi Rattan,72,Female,Belagavi
VIC00022,Chaman Devan,27,Female,Udupi
VIC00023,Triveni Rajagopalan,32,Female,Vijayapura
VIC00024,Brijesh Sharma,47,Male,Ballari
VIC00025,Rohan Menon,36,Male,Davanagere
VIC00026,Yashasvi Viswanathan,60,Male,Ballari
VIC00027,Girish Ben,38,Female,Tumakuru
VIC00028,Azaan Toor,62,Male,Hubballi-Dharwad
VIC00029,Riya Sekhon,72,Female,Vijayapura
VIC00030,Pallavi Yogi,71,Male,Shivamogga
VIC00031,Chatresh Swaminathan,36,Female,Bengaluru Urban
VIC00032,Gunbir Agrawal,69,Female,Mysuru
VIC00033,Janya Sandal,70,Male,Udupi
VIC00034,Odika Kurian,64,Male,Davanagere
VIC00035,Laksh Krishna,65,Male,Chikkamagaluru
VIC00036,Ishaan Kurian,73,Male,Udupi
VIC00037,Kavya Sangha,49,Female,Hubballi-Dharwad
VIC00038,Jeet Srinivasan,70,Male,Bengaluru Urban
VIC00039,Nirja Srivastava,53,Female,Belagavi
VIC00040,Gauri Chaudhari,45,Female,Belagavi
VIC00041,Yahvi Ben,66,Female,Kalaburagi
VIC00042,Raagini Halder,22,Female,Hubballi-Dharwad
VIC00043,Charles Chakrabarti,62,Male,Davanagere
VIC00044,Frado Goyal,72,Female,Bengaluru Rural
VIC00045,Jagvi Thaker,26,Female,Hassan
VIC00046,Gautami Tata,68,Male,Udupi
VIC00047,Tristan Uppal,63,Female,Shivamogga
VIC00048,Wridesh Baria,59,Male,Ballari
VIC00049,Raksha Deshpande,26,Female,Davanagere
VIC00050,Irya Soni,48,Female,Chikkamagaluru
VIC00051,Hamsini Mann,27,Male,Mangaluru
VIC00052,Kamya Patla,69,Male,Davanagere
VIC00053,Wazir Dhar,59,Male,Belagavi
VIC00054,Pooja Kota,64,Male,Vijayapura
VIC00055,Theodore Pingle,68,Male,Kalaburagi
VIC00056,Ikshita Raman,45,Male,Chikkamagaluru
